A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
288.00	54048	33412	23624	78383	54048	23624	33412	78383	4	10	0	1	0	5	5	0	0	12	0	0	0	0
292.00	49142	39363	19576	82146	49142	19576	39363	82146	3	12	2	1	1	4	9	0	2	13	0	0	0	0
296.00	43709	46222	15766	85177	43709	15766	46222	85177	6	3	1	2	1	7	8	0	0	3	0	0	0	0
300.00	38868	51679	12401	86897	38868	12401	51679	86897	5	15	3	2	0	10	8	0	2	14	0	0	0	0
304.00	34923	57054	10362	88183	34923	10362	57054	88183	3	8	3	2	0	10	6	0	3	8	0	0	0	0
308.00	29062	63802	8697	87831	29062	8697	63802	87831	2	4	1	4	1	9	4	0	1	4	0	0	0	0
312.00	24364	66154	7759	85167	24364	7759	66154	85167	1	5	0	0	0	10	3	0	0	5	0	0	0	0
316.00	20317	72700	9102	85708	20317	9102	72700	85708	1	4	2	1	0	17	6	0	2	4	0	0	0	0
320.00	16779	77764	11236	84778	16779	11236	77764	84778	2	0	2	0	0	14	2	0	2	0	0	0	0	0
324.00	13728	81397	14210	81563	13728	14210	81397	81563	5	4	1	1	0	19	7	0	1	3	0	0	0	0
328.00	10939	83963	18704	77272	10939	18704	83963	77272	0	5	4	3	0	15	3	0	5	6	0	0	0	0
332.00	8919	85708	24102	71693	8919	24102	85708	71693	1	1	8	2	1	14	0	0	8	1	0	0	0	0
336.00	7201	87185	32197	65516	7201	32197	87185	65516	0	2	9	2	1	14	3	0	7	2	0	0	0	0
340.00	6128	87511	41101	57017	6128	41101	87511	57017	3	2	9	5	0	11	2	0	9	2	0	0	0	0
344.00	4581	87855	48959	50173	4581	48959	87855	50173	2	0	10	6	1	6	1	0	8	0	0	0	0	0
348.00	3481	88215	57995	42409	3481	57995	88215	42409	0	1	8	4	1	10	0	0	11	1	0	0	0	0
352.00	2789	88618	67271	34418	2789	67271	88618	34418	1	1	6	5	1	6	1	0	9	0	0	0	0	0
356.00	2359	87890	75092	26936	2359	75092	87890	26936	2	0	16	4	0	6	0	0	14	0	0	0	0	0
360.00	2266	87080	83712	19938	2266	83712	87080	19938	1	0	17	4	0	2	0	0	16	0	0	0	0	0
