A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
296.00	167576	8938	37488	25751	167576	37488	8938	25751	3	9	0	3	7	0	7	0	0	9	0	0	0	0
300.00	169672	9891	35584	26234	169672	35584	9891	26234	4	7	0	1	13	0	5	0	0	8	0	0	0	0
304.00	170032	10637	34211	26089	170032	34211	10637	26089	7	14	2	3	12	1	9	0	2	14	0	0	0	0
308.00	168994	11666	32201	25996	168994	32201	11666	25996	5	5	0	4	13	0	7	0	0	7	0	0	0	0
312.00	159349	12469	30099	25481	159349	30099	12469	25481	4	15	1	0	10	1	13	0	1	13	0	0	0	0
316.00	167900	13312	30591	25553	167900	30591	13312	25553	6	3	0	0	11	0	3	0	0	4	0	0	0	0
320.00	171608	14240	31418	25603	171608	31418	14240	25603	4	6	1	2	9	0	3	0	1	6	0	0	0	0
324.00	171214	14839	32567	24081	171214	32567	14839	24081	8	7	0	3	9	3	10	0	0	7	0	0	0	0
328.00	171561	15308	33812	23319	171561	33812	15308	23319	8	6	0	3	11	1	3	0	0	6	0	0	0	0
332.00	167095	15953	35586	21439	167095	35586	15953	21439	3	8	1	1	13	0	8	0	1	7	0	0	0	0
336.00	167326	16453	38523	20543	167326	38523	16453	20543	6	8	0	3	13	0	4	0	0	8	0	0	0	0
340.00	164230	16971	41476	18688	164230	41476	16971	18688	6	10	1	1	10	1	4	0	1	10	0	0	0	0
344.00	162552	17304	44338	17061	162552	44338	17304	17061	11	3	1	1	19	1	6	0	0	3	0	0	0	0
348.00	160220	17472	48751	14245	160220	48751	17472	14245	5	5	1	3	16	0	2	0	2	5	0	0	0	0
352.00	159881	17963	52243	12314	159881	52243	17963	12314	8	5	2	4	22	1	6	0	2	4	0	0	0	0
356.00	158816	17687	56164	9669	158816	56164	17687	9669	6	1	2	1	22	0	2	0	2	1	0	0	0	0
360.00	157167	18465	58452	8158	157167	58452	18465	8158	6	1	3	0	15	1	5	0	3	0	0	0	0	0
