A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
220.00	94631	54363	73304	6345	94631	73304	54363	6345	13	2	7	2	13	0	0	0	6	2	0	0	0	0
224.00	104973	43115	71562	6819	104973	71562	43115	6819	17	0	8	3	21	0	0	0	7	0	0	0	0	0
228.00	113919	32855	69501	7703	113919	69501	32855	7703	11	1	7	2	22	0	2	0	8	1	0	0	0	0
232.00	123228	22115	68260	8379	123228	68260	22115	8379	12	2	4	2	15	1	3	0	4	2	0	0	0	0
236.00	129743	14571	66175	10272	129743	66175	14571	10272	4	2	1	1	24	1	3	0	1	2	0	0	0	0
240.00	134867	9486	63774	12606	134867	63774	9486	12606	1	3	0	4	14	1	2	0	0	3	0	0	0	0
244.00	138863	5096	62195	15098	138863	62195	5096	15098	0	4	0	1	15	0	4	0	0	5	0	0	0	0
248.00	139488	3118	59468	17506	139488	59468	3118	17506	0	5	0	5	7	0	8	0	0	6	0	0	0	0
252.00	139000	3058	56392	21235	139000	56392	3058	21235	1	11	0	5	21	0	6	0	0	10	0	0	0	0
256.00	135321	4386	53075	24726	135321	53075	4386	24726	1	8	0	3	13	0	8	0	0	8	0	0	0	0
260.00	133055	7094	49411	29624	133055	49411	7094	29624	2	10	1	0	15	0	10	0	1	11	0	0	0	0
264.00	127496	12509	46578	33228	127496	46578	12509	33228	6	8	3	3	13	0	12	0	3	5	0	0	0	0
268.00	120426	19527	43679	36461	120426	43679	19527	36461	3	6	1	2	10	1	4	0	1	6	0	0	0	0
272.00	112658	27949	40267	39432	112658	40267	27949	39432	5	4	3	6	9	1	8	0	2	5	0	0	0	0
276.00	106405	35505	35449	44924	106405	35449	35505	44924	8	7	5	4	7	3	13	0	5	6	0	0	0	0
280.00	96857	46632	32921	46925	96857	32921	46632	46925	10	9	4	4	5	4	11	0	4	9	0	0	0	0
284.00	88282	57303	29045	49742	88282	29045	57303	49742	9	9	2	2	4	6	8	0	2	8	0	0	0	0
288.00	79108	68343	25488	52529	79108	25488	68343	52529	11	10	8	4	7	9	10	0	6	10	0	0	0	0
292.00	71479	77066	21459	55137	71479	21459	77066	55137	10	5	3	2	5	11	10	0	3	4	0	0	0	0
296.00	63681	87700	18240	57147	63681	18240	87700	57147	11	9	6	4	2	9	9	0	7	10	0	0	0	0
300.00	55509	99224	15659	58379	55509	15659	99224	58379	8	8	6	3	3	11	5	0	7	7	0	0	0	0
304.00	52236	104071	11959	61640	52236	11959	104071	61640	9	13	4	0	0	12	11	0	5	12	0	0	0	0
308.00	46764	110316	9073	62489	46764	9073	110316	62489	10	2	4	2	1	20	7	0	3	2	0	0	0	0
312.00	35922	114719	7251	61038	35922	7251	114719	61038	20	3	2	2	0	14	3	0	2	3	0	0	0	0
316.00	32722	125738	6621	62043	32722	6621	125738	62043	8	5	3	1	0	12	5	0	1	5	0	0	0	0
320.00	30175	131700	6795	62982	30175	6795	131700	62982	6	5	3	1	1	13	9	0	3	6	0	0	0	0
324.00	27323	134990	7864	62811	27323	7864	134990	62811	10	3	2	2	1	23	3	0	2	3	0	0	0	0
328.00	24719	137159	9913	62044	24719	9913	137159	62044	6	2	3	2	2	25	3	0	3	2	0	0	0	0
332.00	21172	139890	12059	59064	21172	12059	139890	59064	7	3	2	5	1	16	3	0	2	3	0	0	0	0
336.00	19516	141471	15869	56677	19516	15869	141471	56677	10	5	10	7	0	13	2	0	8	6	0	0	0	0
340.00	17768	141890	21112	52649	17768	21112	141890	52649	10	3	5	3	0	21	3	0	4	3	0	0	0	0
344.00	16814	141412	26270	48572	16814	26270	141412	48572	5	1	4	5	2	9	0	0	5	1	0	0	0	0
348.00	16054	140932	32823	43564	16054	32823	140932	43564	4	1	10	3	2	14	2	0	11	1	0	0	0	0
352.00	15655	138957	39139	37825	15655	39139	138957	37825	4	0	7	6	1	18	0	0	6	0	0	0	0	0
356.00	15935	137666	45699	32651	15935	45699	137666	32651	4	2	15	1	0	7	1	0	13	2	0	0	0	0
360.00	16891	135872	51791	27481	16891	51791	135872	27481	8	2	13	0	2	6	1	0	10	2	0	0	0	0
