A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
320.00	20593	127942	14779	87064	20593	14779	127942	87064	6	3	1	4	0	23	4	0	0	3	0	0	0	0
324.00	15883	133443	17156	85236	15883	17156	133443	85236	4	6	3	3	0	23	7	0	1	7	0	0	0	0
328.00	12499	137142	21017	81811	12499	21017	137142	81811	4	1	2	7	1	23	3	0	3	1	0	0	0	0
332.00	10142	138220	27293	76210	10142	27293	138220	76210	0	2	6	4	1	22	2	0	6	2	0	0	0	0
336.00	6394	141371	31462	72724	6394	31462	141371	72724	0	0	9	9	0	21	0	0	7	0	0	0	0	0
340.00	5446	140662	40640	64952	5446	40640	140662	64952	0	0	8	6	1	13	0	0	7	0	0	0	0	0
344.00	3616	141377	48697	56984	3616	48697	141377	56984	0	0	7	3	1	18	0	0	9	0	0	0	0	0
348.00	2877	141224	58636	48695	2877	58636	141224	48695	1	0	17	10	0	13	0	0	18	0	0	0	0	0
352.00	1859	141567	68046	40655	1859	68046	141567	40655	0	0	21	7	0	9	1	0	20	0	0	0	0	0
356.00	1638	140987	76663	33680	1638	76663	140987	33680	0	0	28	6	0	7	0	0	25	0	0	0	0	0
360.00	2051	138101	84108	26623	2051	84108	138101	26623	1	0	24	1	0	7	0	0	22	0	0	0	0	0
